"Range","Prefix","Number","My Payterm","My Payout","Limits"
"Tanzania LX 30D","","255772478092","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255717030736","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255714589546","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255775845333","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255770164943","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255771842630","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255777173729","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255674820483","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255710635299","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255772077152","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255716451441","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255772871817","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255676583077","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255779602791","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255773570872","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255677281581","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 30D","","255774656797","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255710896285","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255778959318","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255715495608","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255677118594","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255779891883","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255774612412","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255650830505","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255651417005","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255779782792","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255719267507","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255654846393","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255773144140","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255777763157","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255710620839","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255773529811","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255677699700","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255714159847","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255675533020","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255771752560","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255712759623","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255674459251","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255679840106","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255771665611","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255771560008","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255678013108","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255777807508","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255775368113","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255719548892","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255650742386","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255677517210","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255713914181","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255777435413","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255771035442","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255710371087","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255718034318","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255676944529","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255778978208","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255779818715","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255716976463","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255719415058","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255675341438","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255770895059","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255778235765","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255771104991","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255710628512","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255652812122","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255774986912","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255676276704","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255650388362","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255651799361","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255770618733","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255775205199","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255679496291","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255679148748","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255654741845","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255775636460","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255777269498","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255773224328","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255679659265","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255770503367","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255716225441","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255775839902","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255770093906","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255771837193","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255674896363","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255656414859","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255711607281","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255778224285","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255678939538","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255674538839","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255679750980","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255678507713","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255715099552","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255776477595","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255652445327","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255779460628","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255675715579","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255675894872","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255776793776","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255716422529","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255712930363","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255715572118","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255677369265","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255718902519","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255679946503","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255678711155","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255771688439","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255679533558","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255772530883","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255677394519","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255716397657","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255679826398","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255711756343","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255718630297","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255679409604","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255674839747","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255714664023","Monthly60","$ 100","SD : 30 | SW : 0"
"Tanzania LX 7J","","255676418858","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255716682320","Monthly60","$ 100","SD : 0 | SW : 0"
"Tanzania LX 7J","","255716263234","Monthly60","$ 100","SD : 30 | SW : 0"
